Index,Company,Category,Indicator,IndicatorNr,IndicatorSuffix,Score,Score_Adjusted
2019,ATT,P,P11a,11,a,70,70
2019,ATT,P,P11b,11,b,0,0
2019,ATT,P,P12,12,NA,0,0
2019,ATT,P,P13,13,NA,100,100
2019,ATT,P,P14,14,NA,25,25
2019,ATT,P,P15,15,NA,16.67,16.67
2019,ATT,P,P16,16,NA,NA,NA
2019,ATT,P,P17,17,NA,NA,NA
2019,ATT,P,P18,18,NA,100,100
2019,Axiata,G,G01,1,NA,0,0
2019,Axiata,G,G02,2,NA,33.33,33.33
2019,Axiata,G,G03,3,NA,12.5,12.5
2019,Axiata,G,G04a,4,a,0,0
2019,Axiata,G,G04b,4,b,0,0
2019,Axiata,G,G04c,4,c,0,0
2019,Axiata,G,G04d,4,d,0,0
2019,Axiata,G,G04e,4,e,NA,NA
2019,Axiata,G,G05,5,NA,0,0
2019,Axiata,G,G06a,6,a,11.11,11.11
2019,Axiata,G,G06b,6,b,NA,NA
2019,Axiata,F,F01a,1,a,66.67,66.67
2019,Axiata,F,F01b,1,b,NA,NA
2019,Axiata,F,F01c,1,c,NA,NA
2019,Axiata,F,F01d,1,d,NA,NA
2019,Axiata,F,F02a,2,a,0,0
2019,Axiata,F,F02b,2,b,NA,NA
2019,Axiata,F,F02c,2,c,NA,NA
2019,Axiata,F,F02d,2,d,NA,NA
2019,Axiata,F,F03a,3,a,33.33,33.33
2019,Axiata,F,F03b,3,b,NA,NA
2019,Axiata,F,F03c,3,c,NA,NA
2019,Axiata,F,F04a,4,a,NA,NA
2019,Axiata,F,F04b,4,b,NA,NA
2019,Axiata,F,F04c,4,c,NA,NA
2019,Axiata,F,F05a,5,a,0,0
2019,Axiata,F,F05b,5,b,0,0
2019,Axiata,F,F06,6,NA,0,0
2019,Axiata,F,F07,7,NA,0,0
2019,Axiata,F,F08,8,NA,0,0
2019,Axiata,F,F09,9,NA,50,50
2019,Axiata,F,F10,10,NA,6.25,6.25
2019,Axiata,F,F11,11,NA,0,0
2019,Axiata,F,F12,12,NA,NA,NA
2019,Axiata,F,F13,13,NA,NA,NA
2019,Axiata,P,P01a,1,a,66.67,66.67
2019,Axiata,P,P01b,1,b,NA,NA
2019,Axiata,P,P02a,2,a,25,25
2019,Axiata,P,P02b,2,b,NA,NA
2019,Axiata,P,P03a,3,a,33.33,33.33
2019,Axiata,P,P03b,3,b,NA,NA
2019,Axiata,P,P04,4,NA,25,25
2019,Axiata,P,P05,5,NA,37.5,37.5
2019,Axiata,P,P06,6,NA,0,0
2019,Axiata,P,P07,7,NA,0,0
2019,Axiata,P,P08,8,NA,0,0
2019,Axiata,P,P09,9,NA,NA,NA
2019,Axiata,P,P10a,10,a,0,0
2019,Axiata,P,P10b,10,b,0,0
2019,Axiata,P,P11a,11,a,0,0
2019,Axiata,P,P11b,11,b,0,0
2019,Axiata,P,P12,12,NA,0,0
2019,Axiata,P,P13,13,NA,50,50
2019,Axiata,P,P14,14,NA,0,0
2019,Axiata,P,P15,15,NA,0,0
2019,Axiata,P,P16,16,NA,NA,NA
2019,Axiata,P,P17,17,NA,NA,NA
2019,Axiata,P,P18,18,NA,0,0
2019,Baidu,G,G01,1,NA,25,25
2019,Baidu,G,G02,2,NA,0,0
2019,Baidu,G,G03,3,NA,12.5,12.5
2019,Baidu,G,G04a,4,a,0,0
2019,Baidu,G,G04b,4,b,0,0
2019,Baidu,G,G04c,4,c,0,0
2019,Baidu,G,G04d,4,d,0,0
2019,Baidu,G,G04e,4,e,NA,NA
2019,Baidu,G,G05,5,NA,0,0
2019,Baidu,G,G06a,6,a,7.41,7.41
2019,Baidu,G,G06b,6,b,NA,NA
2019,Baidu,F,F01a,1,a,72.22,72.22
2019,Baidu,F,F01b,1,b,NA,NA
2019,Baidu,F,F01c,1,c,NA,NA
2019,Baidu,F,F01d,1,d,NA,NA
2019,Baidu,F,F02a,2,a,0,0
2019,Baidu,F,F02b,2,b,NA,NA
2019,Baidu,F,F02c,2,c,NA,NA
2019,Baidu,F,F02d,2,d,NA,NA
2019,Baidu,F,F03a,3,a,56.94,56.94
2019,Baidu,F,F03b,3,b,NA,NA
2019,Baidu,F,F03c,3,c,NA,NA
2019,Baidu,F,F04a,4,a,NA,NA
2019,Baidu,F,F04b,4,b,NA,NA
2019,Baidu,F,F04c,4,c,NA,NA
2019,Baidu,F,F05a,5,a,0,0
2019,Baidu,F,F05b,5,b,0,0
2019,Baidu,F,F06,6,NA,0,0
2019,Baidu,F,F07,7,NA,0,0
2019,Baidu,F,F08,8,NA,0,0
2019,Baidu,F,F09,9,NA,NA,NA
2019,Baidu,F,F10,10,NA,NA,NA
2019,Baidu,F,F11,11,NA,0,0
2019,Baidu,F,F12,12,NA,NA,NA
2019,Baidu,F,F13,13,NA,NA,NA
2019,Baidu,P,P01a,1,a,94.44,94.44
2019,Baidu,P,P01b,1,b,NA,NA
2019,Baidu,P,P02a,2,a,37.5,37.5
2019,Baidu,P,P02b,2,b,NA,NA
2019,Baidu,P,P03a,3,a,66.67,66.67
2019,Baidu,P,P03b,3,b,NA,NA
2019,Baidu,P,P04,4,NA,50,50
2019,Baidu,P,P05,5,NA,75,75
2019,Baidu,P,P06,6,NA,0,0
2019,Baidu,P,P07,7,NA,12.5,12.5
2019,Baidu,P,P08,8,NA,12.5,12.5
2019,Baidu,P,P09,9,NA,0,0
2019,Baidu,P,P10a,10,a,0,0
2019,Baidu,P,P10b,10,b,0,0
2019,Baidu,P,P11a,11,a,0,0
2019,Baidu,P,P11b,11,b,0,0
2019,Baidu,P,P12,12,NA,16.67,16.67
2019,Baidu,P,P13,13,NA,16.67,16.67
2019,Baidu,P,P14,14,NA,33.33,33.33
2019,Baidu,P,P15,15,NA,83.33,83.33
2019,Baidu,P,P16,16,NA,16.67,16.67
2019,Baidu,P,P17,17,NA,33.33,33.33
2019,Baidu,P,P18,18,NA,50,50
2019,Bharti Airtel,G,G01,1,NA,50,50
2019,Bharti Airtel,G,G02,2,NA,16.67,16.67
2019,Bharti Airtel,G,G03,3,NA,37.5,37.5
2019,Bharti Airtel,G,G04a,4,a,0,0
